시트,순번,원본 단계,원본 세부단계,원본 산출물명,등급,등급 설명,방법론,단계 코드,단계명,활동 코드,활동명,작업 코드,작업명,산출물 코드,산출물명,신규 구분,비고
사업관리 (PMR),23,착수,착수계,(별첨) 품질관리계획서,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PRP,착수계획,PRP-PM,프로젝트 관리 계획 수립,PRP-PM-4,품질관리계획,PRP-PM-410,품질관리계획서,기존,
사업관리 (PMR),24,착수,착수계,(별첨) 위험/이슈관리계획서,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PRP,착수계획,PRP-PM,프로젝트 관리 계획 수립,PRP-PM-3,위험관리계획,PRP-PM-310,위험관리계획서,기존,
사업관리 (PMR),25,착수,착수계,(별첨) 보안관리계획서,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PRP,착수계획,PRP-PM,프로젝트 관리 계획 수립,PRP-PM-9,보안관리계획,PRP-PM-910,보안관리계획서,기존,
사업관리 (PMR),26,착수,착수계,(별첨) 보안 서약서(참여자),✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PRP,착수계획,PRP-CT,계약,[신규] PRP-CT-4,[신규] 계약보증·서약,[신규] PRP-CT-450,[신규] 보안서약서(참여자),신규: 작업·산출물,
사업관리 (PMR),27,착수,착수계,(별첨) 근로기준법 준수확인서,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PRP,착수계획,PRP-CT,계약,[신규] PRP-CT-4,[신규] 계약보증·서약,[신규] PRP-CT-460,[신규] 근로기준법 준수확인서,신규: 작업·산출물,
사업관리 (PMR),28,착수,착수계,(별첨) 기술지원확약서,✕,대응 없음 — 표준 트리에 신규 등록 필요,ECR,[신규] ECL,[신규] 인도·증빙 (Equipment Closing),[신규] ECL-CF,[신규] 증빙·라이선스,[신규] ECL-CF-2,[신규] 제조사 확약,[신규] ECL-CF-210,[신규] 기술지원확약서,신규: 단계·활동·작업·산출물,인프라 시트 26번과 동일
사업관리 (PMR),29,착수,착수계,(별첨) 악의적인 백도어 미설치 확인서,✕,대응 없음 — 표준 트리에 신규 등록 필요,ECR,[신규] ECL,[신규] 인도·증빙 (Equipment Closing),[신규] ECL-CF,[신규] 증빙·라이선스,[신규] ECL-CF-2,[신규] 제조사 확약,[신규] ECL-CF-220,[신규] 백도어 미설치 확인서,신규: 단계·활동·작업·산출물,인프라 시트 30번과 동일
사업관리 (PMR),30,착수,착수계,(별첨) 국제사회 제재대상 제품 교체 확약서,✕,대응 없음 — 표준 트리에 신규 등록 필요,ECR,[신규] ECL,[신규] 인도·증빙 (Equipment Closing),[신규] ECL-CF,[신규] 증빙·라이선스,[신규] ECL-CF-2,[신규] 제조사 확약,[신규] ECL-CF-230,[신규] 제재대상 제품 교체 확약서,신규: 단계·활동·작업·산출물,인프라 시트 31번과 동일
사업관리 (PMR),31,착수,착수계,(별첨) 기술적용 계획표,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PRP,착수계획,PRP-CT,계약,PRP-CT-2,착수계 제출,[신규] PRP-CT-250,[신규] 기술적용계획표,신규: 산출물,정보화사업 필수 제출물
사업관리 (PMR),32,착수,착수계,(별첨) 조직도,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PRP,착수계획,PRP-CT,계약,PRP-CT-3,투입인원확정,PRP-CT-330,조직도,기존,
사업관리 (PMR),33,착수,착수계,(별첨) 투입인력 프로필,△,부분 대응 — 상위 개념만 있어 세분화 필요,OPMS,PRP,착수계획,PRP-CT,계약,PRP-CT-3,투입인원확정,PRP-CT-310,인력투입계획표,기존,별도 산출물 신설 권장
사업관리 (PMR),34,착수,착수계,(투입인력) 증빙자료,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PRP,착수계획,PRP-CT,계약,PRP-CT-3,투입인원확정,[신규] PRP-CT-360,[신규] 투입인력 증빙자료,신규: 산출물,이력서·KOSA경력·재직·4대보험
사업관리 (PMR),35,착수,하도급,(공문) 하도급 계약 승인 신청의 건,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PRP,착수계획,PRP-CT,계약,PRP-CT-1,계약체결,PRP-CT-140,하도급승인신청,기존,
사업관리 (PMR),36,착수,하도급,(공문 붙임) 하도급 계약 승인서,○,유사 대응 — 명칭만 다르고 동일 문서로 취급 가능,OPMS,PRP,착수계획,PRP-CT,계약,PRP-CT-1,계약체결,PRP-CT-140,하도급승인신청,기존,
사업관리 (PMR),37,착수,하도급,(붙임) 하도급계약서,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PRP,착수계획,PRP-CT,계약,PRP-CT-1,계약체결,PRP-CT-130,하도급계약서,기존,
사업관리 (PMR),38,착수,하도급,(붙임) 하도급사업수행계획서,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PRP,착수계획,PRP-CT,계약,PRP-CT-1,계약체결,[신규] PRP-CT-160,[신규] 하도급사업수행계획서,신규: 산출물,
사업관리 (PMR),39,착수,하도급,(붙임) 하도급적정성 판단 자기평가표,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PRP,착수계획,PRP-CT,계약,PRP-CT-1,계약체결,[신규] PRP-CT-170,[신규] 하도급적정성 자기평가표,신규: 산출물,
사업관리 (PMR),40,착수,하도급,(붙임) 소프트웨어사업 하도급 계획서,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PRP,착수계획,PRP-CT,계약,PRP-CT-1,계약체결,[신규] PRP-CT-180,[신규] 하도급 계획서,신규: 산출물,
사업관리 (PMR),41,착수,하도급,(붙임) 기타증빙서류,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PRP,착수계획,PRP-CT,계약,PRP-CT-1,계약체결,[신규] PRP-CT-190,[신규] 하도급 기타증빙,신규: 산출물,
사업관리 (PMR),42,착수,선금,(공문) 선금 신청의 건,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PPC,실행 통제,[신규] PPC-FM,[신규] 대금관리,[신규] PPC-FM-1,[신규] 선금 청구,[신규] PPC-FM-110,[신규] 선금 신청 공문,신규: 활동·작업·산출물,
사업관리 (PMR),43,착수,선금,(공문 붙임) 선금 신청서,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PPC,실행 통제,[신규] PPC-FM,[신규] 대금관리,[신규] PPC-FM-1,[신규] 선금 청구,[신규] PPC-FM-120,[신규] 선금 신청서,신규: 활동·작업·산출물,
사업관리 (PMR),44,착수,선금,(붙임) 선금급이행보증보험증권,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PPC,실행 통제,[신규] PPC-FM,[신규] 대금관리,[신규] PPC-FM-1,[신규] 선금 청구,[신규] PPC-FM-130,[신규] 선금이행보증증권,신규: 활동·작업·산출물,
사업관리 (PMR),45,착수,선금,(붙임) 전자세금계산서,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PPC,실행 통제,[신규] PPC-FM,[신규] 대금관리,[신규] PPC-FM-1,[신규] 선금 청구,[신규] PPC-FM-140,[신규] 대금청구 증빙,신규: 활동·작업·산출물,
사업관리 (PMR),46,착수,선금,(붙임) 통장사본,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PPC,실행 통제,[신규] PPC-FM,[신규] 대금관리,[신규] PPC-FM-1,[신규] 선금 청구,[신규] PPC-FM-140,[신규] 대금청구 증빙,신규: 활동·작업·산출물,
사업관리 (PMR),47,착수,선금,(붙임) 국세 및 지방세 완납 증명서,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PPC,실행 통제,[신규] PPC-FM,[신규] 대금관리,[신규] PPC-FM-1,[신규] 선금 청구,[신규] PPC-FM-140,[신규] 대금청구 증빙,신규: 활동·작업·산출물,
사업관리 (PMR),48,착수,선금,(붙임) 4대 보험 완납 증명서,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PPC,실행 통제,[신규] PPC-FM,[신규] 대금관리,[신규] PPC-FM-1,[신규] 선금 청구,[신규] PPC-FM-140,[신규] 대금청구 증빙,신규: 활동·작업·산출물,
사업관리 (PMR),49,착수,선금,(붙임) 사업자 등록증,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PPC,실행 통제,[신규] PPC-FM,[신규] 대금관리,[신규] PPC-FM-1,[신규] 선금 청구,[신규] PPC-FM-140,[신규] 대금청구 증빙,신규: 활동·작업·산출물,
사업관리 (PMR),50,계획,하도급,(공문) 하도급계약 준수 실태 보고(선금),✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PPC,실행 통제,[신규] PPC-FM,[신규] 대금관리,[신규] PPC-FM-4,[신규] 하도급 준수 실태 보고,[신규] PPC-FM-410,[신규] 하도급 준수 실태 보고 공문,신규: 활동·작업·산출물,
사업관리 (PMR),51,계획,하도급,(공문 붙임) 하도급계약 준수 실태 보고서,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PPC,실행 통제,[신규] PPC-FM,[신규] 대금관리,[신규] PPC-FM-4,[신규] 하도급 준수 실태 보고,[신규] PPC-FM-420,[신규] 하도급 준수 실태 보고서,신규: 활동·작업·산출물,
사업관리 (PMR),52,계획,하도급,(별첨) 하도급계약서,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PPC,실행 통제,[신규] PPC-FM,[신규] 대금관리,[신규] PPC-FM-4,[신규] 하도급 준수 실태 보고,[신규] PPC-FM-430,[신규] 하도급 준수 증빙,신규: 활동·작업·산출물,
사업관리 (PMR),53,계획,하도급,(별첨) 하도급 계약 준수사항 이행 증빙서류,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PPC,실행 통제,[신규] PPC-FM,[신규] 대금관리,[신규] PPC-FM-4,[신규] 하도급 준수 실태 보고,[신규] PPC-FM-430,[신규] 하도급 준수 증빙,신규: 활동·작업·산출물,
사업관리 (PMR),54,계획,선금,(공문) 선금 사용내역서 제출의 건,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PPC,실행 통제,[신규] PPC-FM,[신규] 대금관리,[신규] PPC-FM-2,[신규] 선금 정산,[신규] PPC-FM-210,[신규] 선금 사용내역서,신규: 활동·작업·산출물,
사업관리 (PMR),55,계획,선금,(별첨) 선금 사용내역서,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PPC,실행 통제,[신규] PPC-FM,[신규] 대금관리,[신규] PPC-FM-2,[신규] 선금 정산,[신규] PPC-FM-210,[신규] 선금 사용내역서,신규: 활동·작업·산출물,
사업관리 (PMR),56,계획,선금,(별첨) 세금계산서·계좌이체증,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PPC,실행 통제,[신규] PPC-FM,[신규] 대금관리,[신규] PPC-FM-2,[신규] 선금 정산,[신규] PPC-FM-220,[신규] 선금 정산 증빙,신규: 활동·작업·산출물,
사업관리 (PMR),57,계획,선금,(별첨) 급여지급 증빙(인건비인 경우),✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PPC,실행 통제,[신규] PPC-FM,[신규] 대금관리,[신규] PPC-FM-2,[신규] 선금 정산,[신규] PPC-FM-220,[신규] 선금 정산 증빙,신규: 활동·작업·산출물,
사업관리 (PMR),58,계획,선금,(별첨) 거래명세서·지출증빙,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PPC,실행 통제,[신규] PPC-FM,[신규] 대금관리,[신규] PPC-FM-2,[신규] 선금 정산,[신규] PPC-FM-220,[신규] 선금 정산 증빙,신규: 활동·작업·산출물,
사업관리 (PMR),59,계획,선금,(별첨) 선금 정산서,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PPC,실행 통제,[신규] PPC-FM,[신규] 대금관리,[신규] PPC-FM-2,[신규] 선금 정산,[신규] PPC-FM-230,[신규] 선금 정산서,신규: 활동·작업·산출물,
사업관리 (PMR),60,계획,프로젝트 표준수립,산출물 테일러링 결과서,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PRP,착수계획,PRP-TL,테일러링,PRP-TL-1,테일러링,PRP-TL-120,테일러링 결과서,기존,
사업관리 (PMR),61,계획,프로젝트 표준수립,산출물 문서 표준지침,○,유사 대응 — 명칭만 다르고 동일 문서로 취급 가능,OPMS,PRP,착수계획,PRP-TL,테일러링,PRP-TL-1,테일러링,PRP-TL-110,테일러링가이드,기존,
사업관리 (PMR),62,계획,프로젝트 표준수립,산출물 목록표,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PRP,착수계획,PRP-TL,테일러링,PRP-TL-1,테일러링,PRP-TL-120,테일러링 결과서,기존,
사업관리 (PMR),63,계획,요구사항정의,요구사항정의서,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,ODS,RAD,분석 (Require Analysis Define),RAD-RD,요구사항 정의 (Requirement Definition),RAD-RD-1,요구사항 분석,RAD-RD-110,요구사항정의서,기존,
사업관리 (PMR),64,계획,요구사항정의,과업대비표,○,유사 대응 — 명칭만 다르고 동일 문서로 취급 가능,OPMS,PPC,실행 통제,PPC-CM,핵심관리,PPC-CM-1,범위관리및통제,PPC-CM-110,범위비교표,기존,
사업관리 (PMR),65,계획,계획수립,범위관리 계획서,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PRP,착수계획,PRP-PM,프로젝트 관리 계획 수립,PRP-PM-1,범위관리계획,PRP-PM-110,범위관리계획서,기존,
사업관리 (PMR),66,계획,계획수립,변경관리 계획서,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PRP,착수계획,PRP-PM,프로젝트 관리 계획 수립,PRP-PM-7,변경관리계획,PRP-PM-710,변경관리계획서,기존,
사업관리 (PMR),67,계획,계획수립,일정관리 계획서,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PRP,착수계획,PRP-PM,프로젝트 관리 계획 수립,PRP-PM-2,일정관리계획,PRP-PM-210,일정관리계획서/WBS,기존,
사업관리 (PMR),68,계획,계획수립,인력관리 계획서,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PRP,착수계획,PRP-PM,프로젝트 관리 계획 수립,PRP-PM-5,인력관리계획,PRP-PM-510,인력관리계획서,기존,
사업관리 (PMR),69,계획,계획수립,품질관리 계획서,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PRP,착수계획,PRP-PM,프로젝트 관리 계획 수립,PRP-PM-4,품질관리계획,PRP-PM-410,품질관리계획서,기존,
사업관리 (PMR),70,계획,계획수립,의사소통관리 계획서,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PRP,착수계획,PRP-PM,프로젝트 관리 계획 수립,PRP-PM-8,의사소통계획,PRP-PM-810,의사소통관리계획서,기존,
사업관리 (PMR),71,계획,계획수립,위험이슈관리 계획서,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PRP,착수계획,PRP-PM,프로젝트 관리 계획 수립,PRP-PM-3,위험관리계획,PRP-PM-310,위험관리계획서,기존,
사업관리 (PMR),72,계획,계획수립,보안관리 계획서,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PRP,착수계획,PRP-PM,프로젝트 관리 계획 수립,PRP-PM-9,보안관리계획,PRP-PM-910,보안관리계획서,기존,
사업관리 (PMR),73,계획,계획수립,안전보건관리 계획서,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PRP,착수계획,PRP-PM,프로젝트 관리 계획 수립,PRP-PM-10,안전보건관리,PRP-PM-1010,안전보건관리계획서,기존,
사업관리 (PMR),74,계획,계획수립,산출물관리 계획서,○,유사 대응 — 명칭만 다르고 동일 문서로 취급 가능,OPMS,PRP,착수계획,PRP-PM,프로젝트 관리 계획 수립,PRP-PM-6,형상관리계획,PRP-PM-610,형상관리계획서,기존,
사업관리 (PMR),75,계획,계획수립,교육 계획서,○,유사 대응 — 명칭만 다르고 동일 문서로 취급 가능,ODS,DTD,구현/인수,DTD-DP,전개 (Deployment),DTD-DP-3,사용자교육,DTD-DP-310,교육계획서,기존,OPMS 이관 검토
사업관리 (PMR),76,수행 및 통제,상호협약,상호협약서,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PPC,실행 통제,PPC-SM,단순관리,PPC-SM-1,의사관리및통제,[신규] PPC-SM-160,[신규] 상호협약서,신규: 산출물,3자단가 사업자 협약
사업관리 (PMR),77,수행 및 통제,범위관리,요구사항정의서(검사기준서),◎,정확 대응 — 표준에 동일 산출물이 이미 존재,ODS,RAD,분석 (Require Analysis Define),RAD-RD,요구사항 정의 (Requirement Definition),RAD-RD-1,요구사항 분석,RAD-RD-110,요구사항정의서,기존,
사업관리 (PMR),78,수행 및 통제,범위관리,요구사항 추적표,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,ODS,RAD,분석 (Require Analysis Define),RAD-RD,요구사항 정의 (Requirement Definition),RAD-RD-1,요구사항 분석,RAD-RD-120,요구사항추적표,기존,
사업관리 (PMR),79,수행 및 통제,변경관리,변경요청서,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PPC,실행 통제,PPC-CM,핵심관리,PPC-CM-7,변경관리및통제,PPC-CM-720,변경요청서,기존,
사업관리 (PMR),80,수행 및 통제,변경관리,변경관리 내역서,○,유사 대응 — 명칭만 다르고 동일 문서로 취급 가능,OPMS,PPC,실행 통제,PPC-CM,핵심관리,PPC-CM-7,변경관리및통제,PPC-CM-710,변경요청목록대장,기존,
사업관리 (PMR),81,수행 및 통제,일정관리,WBS,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PPC,실행 통제,PPC-CM,핵심관리,PPC-CM-2,일정/진척관리및통제,PPC-CM-210,WBS,기존,
사업관리 (PMR),82,수행 및 통제,품질관리,품질관리 결과서,○,유사 대응 — 명칭만 다르고 동일 문서로 취급 가능,OPMS,PPC,실행 통제,PPC-CM,핵심관리,PPC-CM-4,품질관리및통제,PPC-CM-420,품질검토결과보고서,기존,
사업관리 (PMR),83,수행 및 통제,의사소통관리,착수보고,△,부분 대응 — 상위 개념만 있어 세분화 필요,OPMS,PPC,실행 통제,PPC-SM,단순관리,PPC-SM-1,의사관리및통제,PPC-SM-140,수시보고서,기존,'착수보고' 신설 권장
사업관리 (PMR),84,수행 및 통제,의사소통관리,주간업무보고서,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PPC,실행 통제,PPC-SM,단순관리,PPC-SM-1,의사관리및통제,PPC-SM-120,주간업무보고,기존,
사업관리 (PMR),85,수행 및 통제,의사소통관리,월간업무보고서,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PPC,실행 통제,PPC-SM,단순관리,PPC-SM-1,의사관리및통제,PPC-SM-130,월간업무보고,기존,
사업관리 (PMR),86,수행 및 통제,의사소통관리,중간보고,△,부분 대응 — 상위 개념만 있어 세분화 필요,OPMS,PPC,실행 통제,PPC-SM,단순관리,PPC-SM-1,의사관리및통제,PPC-SM-140,수시보고서,기존,'중간보고' 신설 권장
사업관리 (PMR),87,수행 및 통제,의사소통관리,회의록,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PPC,실행 통제,PPC-SM,단순관리,PPC-SM-1,의사관리및통제,PPC-SM-110,회의록,기존,
사업관리 (PMR),88,수행 및 통제,위험이슈관리,위험이슈관리대장,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PPC,실행 통제,PPC-CM,핵심관리,PPC-CM-3,위험관리및통제,PPC-CM-340,위험이슈통제결과표,기존,
사업관리 (PMR),89,수행 및 통제,보안관리,보안관리월별 점검표,△,부분 대응 — 상위 개념만 있어 세분화 필요,OPMS,PPC,실행 통제,PPC-SM,단순관리,PPC-SM-2,보안관리/통제,PPC-SM-210,보안관리대장,기존,보안 대장 세분화 필요
사업관리 (PMR),90,수행 및 통제,보안관리,월간 보안교육결과서,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PPC,실행 통제,PPC-SM,단순관리,PPC-SM-2,보안관리/통제,[신규] PPC-SM-220,[신규] 보안교육 결과서,신규: 산출물,
사업관리 (PMR),91,수행 및 통제,보안관리,자료관리대장,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PPC,실행 통제,PPC-SM,단순관리,PPC-SM-2,보안관리/통제,[신규] PPC-SM-230,[신규] 자료관리대장,신규: 산출물,
사업관리 (PMR),92,수행 및 통제,보안관리,출입관리대장,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PPC,실행 통제,PPC-SM,단순관리,PPC-SM-2,보안관리/통제,[신규] PPC-SM-240,[신규] 출입관리대장,신규: 산출물,
